epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,469.657,0.86164,0.66395,0.99765,0.94745,0.9479,0.97384,0.84513,0.67435,0.46207,0.92383,0.00319928,0.00319928,0.00319928
43,481.082,0.81842,0.65752,0.9904,0.9295,0.96267,0.98052,0.86245,0.65131,0.41907,0.92378,0.0031236,0.0031236,0.0031236
44,492.692,0.87298,0.64309,0.99499,0.7764,0.91667,0.91912,0.74932,0.82792,0.62834,0.96031,0.00304731,0.00304731,0.00304731
45,504.062,0.87149,0.70356,0.99346,0.82661,0.9075,0.9386,0.80124,0.73005,0.66023,0.9389,0.00297048,0.00297048,0.00297048
46,515.315,0.81496,0.66264,0.97383,0.92905,0.94122,0.96669,0.78954,0.80866,0.47658,0.95553,0.0028932,0.0028932,0.0028932
47,526.67,0.79986,0.67513,0.98304,0.96937,0.90091,0.96237,0.76343,0.88658,0.49108,0.95839,0.00281552,0.00281552,0.00281552
48,537.832,0.81498,0.6211,0.97419,0.96427,0.90722,0.96152,0.80061,0.81143,0.46946,0.94234,0.00273754,0.00273754,0.00273754
49,549.105,0.83732,0.6411,0.97905,0.95997,0.97056,0.98652,0.85893,0.68011,0.388,0.9107,0.00265932,0.00265932,0.00265932
50,560.49,0.81165,0.59322,0.96891,0.9375,0.9783,0.98655,0.85679,0.66941,0.4056,0.92384,0.00258095,0.00258095,0.00258095
51,571.659,0.83069,0.61213,0.97142,0.84484,0.9286,0.94861,0.75509,0.82729,0.61123,0.9947,0.0025025,0.0025025,0.0025025
52,583.124,0.78815,0.57121,0.96191,0.79922,0.90278,0.94023,0.77806,0.761,0.66907,0.94481,0.00242405,0.00242405,0.00242405
53,594.257,0.80904,0.54169,0.97481,0.95471,0.95728,0.98416,0.82921,0.75091,0.40856,0.93392,0.00234568,0.00234568,0.00234568
54,605.466,0.76537,0.52659,0.94991,0.94193,0.90712,0.9752,0.81818,0.69937,0.54349,0.94183,0.00226746,0.00226746,0.00226746
55,617.143,0.78895,0.56272,0.96247,0.9892,0.95486,0.98412,0.82175,0.79119,0.41434,0.93794,0.00218948,0.00218948,0.00218948
56,628.343,0.7815,0.54569,0.9607,0.95658,0.94572,0.97557,0.81601,0.74156,0.45352,0.93179,0.0021118,0.0021118,0.0021118
57,639.349,0.79841,0.56735,0.95492,0.9243,0.91344,0.97652,0.85287,0.65613,0.4404,0.92759,0.00203452,0.00203452,0.00203452
58,650.268,0.79865,0.56161,0.97732,0.96886,0.96894,0.98653,0.85841,0.66435,0.3555,0.90931,0.00195769,0.00195769,0.00195769
59,661.135,0.77553,0.50582,0.96666,0.95309,0.95607,0.97668,0.82804,0.73611,0.40068,0.92652,0.0018814,0.0018814,0.0018814
60,671.978,0.7755,0.50257,0.95966,0.96137,0.97585,0.98639,0.80799,0.84307,0.38191,0.93818,0.00180572,0.00180572,0.00180572
61,683.043,0.71397,0.46489,0.94861,0.98443,0.98415,0.98949,0.83239,0.79336,0.34554,0.93079,0.00173073,0.00173073,0.00173073
62,694.039,0.74778,0.4838,0.93459,0.98369,0.97917,0.98943,0.85038,0.72946,0.3587,0.93056,0.0016565,0.0016565,0.0016565
63,704.909,0.72422,0.46519,0.93545,0.97418,0.92966,0.97485,0.81993,0.79284,0.38438,0.92398,0.00158311,0.00158311,0.00158311
64,715.852,0.74733,0.48308,0.94838,0.94872,0.97049,0.98364,0.85982,0.66606,0.34859,0.90677,0.00151062,0.00151062,0.00151062
65,726.858,0.7286,0.46517,0.94075,1,0.95685,0.98935,0.82299,0.81919,0.36283,0.94243,0.00143912,0.00143912,0.00143912
66,738.455,0.74229,0.46373,0.9385,0.95724,0.98551,0.98886,0.86271,0.717,0.34264,0.92542,0.00136866,0.00136866,0.00136866
67,749.623,0.72558,0.48266,0.93854,0.98935,0.95122,0.98771,0.8677,0.68434,0.34346,0.91311,0.00129932,0.00129932,0.00129932
68,760.725,0.71361,0.47045,0.94214,1,0.9632,0.98766,0.86368,0.66439,0.32266,0.89763,0.00123117,0.00123117,0.00123117
69,771.747,0.7136,0.46864,0.94067,0.99705,0.98611,0.99011,0.82564,0.79697,0.33664,0.91935,0.00116427,0.00116427,0.00116427
70,782.732,0.73768,0.49906,0.94794,0.99564,0.97723,0.99018,0.80444,0.87842,0.34142,0.93979,0.0010987,0.0010987,0.0010987
71,793.764,0.69411,0.44482,0.92742,0.99768,0.96957,0.98973,0.85135,0.71334,0.32651,0.89777,0.00103451,0.00103451,0.00103451
72,804.743,0.70483,0.46115,0.93383,0.99828,0.97049,0.98783,0.85856,0.68159,0.32116,0.89866,0.000971765,0.000971765,0.000971765
73,815.919,0.69479,0.44903,0.93201,0.99365,0.98611,0.99011,0.86037,0.68088,0.30019,0.89392,0.000910534,0.000910534,0.000910534
74,827.135,0.66361,0.44758,0.92161,0.95839,0.96386,0.98377,0.85264,0.73053,0.35547,0.91059,0.000850874,0.000850874,0.000850874
